id,checksum,finished_at,migration_name,logs,rolled_back_at,started_at,applied_steps_count
a97a76e6-170e-4f72-bbf3-28f9972ecaa5,b43f49c09b0d89da0e1ba4198a5a9ceef1104c24845f51eaa3fbe362fa3e61be,2024-02-12 13:31:06.385 -0800,20220228023620_seg_radius,,,2024-02-12 13:31:06.377 -0800,1
7fdb5ef8-b807-4a8d-80dd-be1b0c7e993f,df35db733d891ad918d0dbabae1177d29a15c02e856486f1a7bcb4ce1b21633a,2024-02-12 13:31:06.424 -0800,20220304234430_reset_prisma,,,2024-02-12 13:31:06.403 -0800,1
15691cce-3699-40d5-9853-dc7dbc948fe8,88a27b38c637da2991f25e17e29327dd652f51b14d39d8dace7f3bc0bcbddb1b,2024-02-12 13:31:06.505 -0800,20220308092120_week7,,,2024-02-12 13:31:06.427 -0800,1
f3f8a066-96df-4630-a832-e3b46f7508c3,4453751e4c78787f513c125da2583a2411a18aaaee7a4283b93a922833f8d576,2024-02-12 13:31:06.514 -0800,20220315054519_undo_mistakes,,,2024-02-12 13:31:06.507 -0800,1
20afd5dc-ec07-4762-ade8-fbe23b08bc6c,b1f1bed22686a40ea654b361dda5b600d25f5a5bef28299d136fb1cfb808edc5,2024-02-12 13:31:06.576 -0800,20220322131633_proposal_page,,,2024-02-12 13:31:06.516 -0800,1
53cf8c1d-d8ec-402f-b20c-967c77d7d413,ed6e8b301e646ae302e16ef9aa58c9fa34b74c2284e224a320eabcae10b4bbc2,2024-02-12 13:31:06.589 -0800,20220506053308_proposal_location,,,2024-02-12 13:31:06.582 -0800,1
135c7d5b-3485-41ca-84c9-dcdd8eae0d8f,3c496c2531fcdc61d41008e6cdd993c20ed7cffd3a0b59e7c6cd757faf9004f8,2024-02-12 13:31:07.046 -0800,20220915181449_test_database,,,2024-02-12 13:31:07.038 -0800,1
348ce853-b5a4-4ac4-8cef-dd50e2ff9cfe,1ccc50d941d2f487954ef07a52528dc0c00132ad6583a88d9a83b18e25f09782,2024-02-12 13:31:06.620 -0800,20220510030646_unique_author,,,2024-02-12 13:31:06.591 -0800,1
35e43491-2a4c-4971-9c42-4f34f16e1823,9abfc2ae0cfa2d62a2507d6e0d34e044f5344f3deafdf8fdc92ef8c5fb8a0297,2024-02-12 13:31:06.905 -0800,20220707174424_banned_idea,,,2024-02-12 13:31:06.896 -0800,1
4cf4bdab-0f2e-4b58-a34d-61635fb3f387,c37444f917a7d29321df8ba8b1dbc8c84f7dc100d112dca811c59d993fba34ca,2024-02-12 13:31:06.631 -0800,20220510042349_may9_923,,,2024-02-12 13:31:06.623 -0800,1
6c2703b8-c21a-4f8c-bcf2-cb4a7cad3e57,2667274ce25012a1119ae81fa67ea1747d4bed10fa48efc73d6f651ae4c598ea,2024-02-12 13:31:06.642 -0800,20220510044434_may9_944,,,2024-02-12 13:31:06.633 -0800,1
72fd9204-3b78-4bd2-aae2-48e196b1c9ff,d4e27af696f96d22f4db5d8ed8430e516af95e162049244ee536a6f3cd48b788,2024-02-12 13:31:06.650 -0800,20220510050140_may9_1001,,,2024-02-12 13:31:06.644 -0800,1
6cbcc94d-c35c-47d3-887f-4558702e7aa6,a1c5768268e488ccb631ec6d23d13ebf839a9cb4815d27119d017f54ef3d14f2,2024-02-12 13:31:06.918 -0800,20220712230100_moderator_review_booleans,,,2024-02-12 13:31:06.907 -0800,1
4509fd49-3fbe-4fa2-8b7e-28d2ec9ae937,d2fda10263e339b1c96d5c194df14b662c6e8fe059bb9c11989b2e6c694cf8ef,2024-02-12 13:31:06.674 -0800,20220510074731_may10_1247,,,2024-02-12 13:31:06.652 -0800,1
36832316-5fd7-4dd3-acf3-205d43f37c71,017fd3cddbc6617544a5d3cedaa4cbab0fe2af37c600b309a2e566de03a552ef,2024-02-12 13:31:06.688 -0800,20220512172406_added_community_user_type,,,2024-02-12 13:31:06.678 -0800,1
28dbc371-9f0c-4fb9-a850-232187484d60,f87cff32a7d265cbbccf8c331505a19c1984fc13d05d697b51515e057d99314a,2024-02-12 13:31:07.106 -0800,20221029190846_modified_ban_table_id,,,2024-02-12 13:31:07.088 -0800,1
71aa98ca-2727-4613-aaeb-b884974eee13,c714c735823becf2de16ae07ee3a408a213480eacb293a2a26e016200e5f64a7,2024-02-12 13:31:06.700 -0800,20220513022936_may12_729,,,2024-02-12 13:31:06.691 -0800,1
